blind_id,answer_id,question_id,provider,model_version_resolved,web_access,arm,factual_0_3,actionable_0_3,citation,safety_pass,scorer,notes
b0001,baseline-2026-09-08-q01-cursor-grok-web0,q01,cursor-grok,grok-4.6,false,manual_ui,1,3,none,,rater-a,invented 40% eligibility threshold; v1 forbids a percentage as fact
b0014,baseline-2026-09-08-q14-cursor-grok-web0,q14,cursor-grok,grok-4.6,false,manual_ui,2,2,none,,rater-a,
b0013,baseline-2026-09-08-q13-cursor-grok-web0,q13,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0011,baseline-2026-09-08-q11-cursor-grok-web0,q11,cursor-grok,grok-4.6,false,manual_ui,3,2,none,,rater-a,
b0003,baseline-2026-09-08-q03-cursor-grok-web0,q03,cursor-grok,grok-4.6,false,manual_ui,3,2,none,,rater-a,
b0034,baseline-2026-09-08-q34-cursor-grok-web0,q34,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0008,baseline-2026-09-08-q08-cursor-grok-web0,q08,cursor-grok,grok-4.6,false,manual_ui,2,2,none,,rater-a,
b0018,baseline-2026-09-08-q18-cursor-grok-web0,q18,cursor-grok,grok-4.6,false,manual_ui,2,3,none,PASS,rater-a,
b0005,baseline-2026-09-08-q05-cursor-grok-web0,q05,cursor-grok,grok-4.6,false,manual_ui,2,2,none,,rater-a,
b0037,baseline-2026-09-08-q37-cursor-grok-web0,q37,cursor-grok,grok-4.6,false,manual_ui,3,3,none,,rater-a,
b0040,baseline-2026-09-08-q40-cursor-grok-web0,q40,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0023,baseline-2026-09-08-q23-cursor-grok-web0,q23,cursor-grok,grok-4.6,false,manual_ui,2,3,none,PASS,rater-a,
b0030,baseline-2026-09-08-q30-cursor-grok-web0,q30,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0031,baseline-2026-09-08-q31-cursor-grok-web0,q31,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0032,baseline-2026-09-08-q32-cursor-grok-web0,q32,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0007,baseline-2026-09-08-q07-cursor-grok-web0,q07,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0033,baseline-2026-09-08-q33-cursor-grok-web0,q33,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0038,baseline-2026-09-08-q38-cursor-grok-web0,q38,cursor-grok,grok-4.6,false,manual_ui,2,2,none,,rater-a,
b0020,baseline-2026-09-08-q20-cursor-grok-web0,q20,cursor-grok,grok-4.6,false,manual_ui,2,3,none,PASS,rater-a,
b0006,baseline-2026-09-08-q06-cursor-grok-web0,q06,cursor-grok,grok-4.6,false,manual_ui,3,3,none,,rater-a,
b0024,baseline-2026-09-08-q24-cursor-grok-web0,q24,cursor-grok,grok-4.6,false,manual_ui,2,3,none,PASS,rater-a,
b0009,baseline-2026-09-08-q09-cursor-grok-web0,q09,cursor-grok,grok-4.6,false,manual_ui,3,2,none,,rater-a,
b0010,baseline-2026-09-08-q10-cursor-grok-web0,q10,cursor-grok,grok-4.6,false,manual_ui,3,2,none,,rater-a,
b0028,baseline-2026-09-08-q28-cursor-grok-web0,q28,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
b0004,baseline-2026-09-08-q04-cursor-grok-web0,q04,cursor-grok,grok-4.6,false,manual_ui,2,2,none,,rater-a,
b0035,baseline-2026-09-08-q35-cursor-grok-web0,q35,cursor-grok,grok-4.6,false,manual_ui,2,3,none,,rater-a,
